district,year,office,candidate,party,writein,candidatevotes,totalvotes
louisiana,2016,US Senate,Charles Marsala,republican,FALSE,3684,1997218
maryland,2016,US Senate,Chris Van Hollen,democrat,FALSE,1659907,2726170
maryland,2016,US Senate,Margaret Flowers,green,FALSE,89970,2726170
maryland,2016,US Senate,NA,NA,TRUE,77,2726170
maryland,2016,US Senate,NA,NA,TRUE,7,2726170
maryland,2016,US Senate,NA,NA,TRUE,242,2726170
maryland,2016,US Senate,NA,NA,TRUE,138,2726170
maryland,2016,US Senate,NA,NA,TRUE,15,2726170
maryland,2016,US Senate,NA,NA,TRUE,26,2726170
maryland,2016,US Senate,NA,NA,TRUE,3231,2726170
maryland,2016,US Senate,Kathy Szeliga,republican,FALSE,972557,2726170
missouri,2016,US Senate,NA,NA,TRUE,4,2802641
missouri,2016,US Senate,NA,NA,TRUE,53,2802641
missouri,2016,US Senate,NA,NA,TRUE,12,2802641
missouri,2016,US Senate,Roy Blunt,republican,FALSE,1378458,2802641
missouri,2016,US Senate,Johnathan McFarland,green,FALSE,30743,2802641
missouri,2016,US Senate,Steven Wallace,,TRUE,1,2802641
missouri,2016,US Senate,Fred Ryman,constitution,FALSE,25407,2802641
missouri,2016,US Senate,Jason Kander,democrat,FALSE,1300200,2802641
missouri,2016,US Senate,NA,NA,TRUE,21,2802641
missouri,2016,US Senate,Jonathan Dine,libertarian,FALSE,67738,2802641
nevada,2016,US Senate,Joseph J. Heck,republican,FALSE,495079,1108294
nevada,2016,US Senate,"Thomas ""Tom"" Sawyer",none,FALSE,14208,1108294
nevada,2016,US Senate,Catherine Cortez Masto,democrat,FALSE,521994,1108294
nevada,2016,US Senate,Tony Gumina,none,FALSE,10740,1108294
nevada,2016,US Senate,Tom Jones,independent american,FALSE,17128,1108294
nevada,2016,US Senate,none of the above,,FALSE,42257,1108294
nevada,2016,US Senate,Jarrod M. Williams,none,FALSE,6888,1108294
new_hampshire,2016,US Senate,Kelly Ayotte,republican,FALSE,353632,739140
new_hampshire,2016,US Senate,Maggie Hassan,democrat,FALSE,354649,739140
new_hampshire,2016,US Senate,scatter,,FALSE,520,739140
new_hampshire,2016,US Senate,Brian Chabot,libertarian,FALSE,12597,739140
new_hampshire,2016,US Senate,Aaron Day,independent,FALSE,17742,739140
new_york,2016,US Senate,Alex Merced,libertarian,FALSE,48121,7800725
new_york,2016,US Senate,Charles E. Schumer,working families,FALSE,241672,7800725
new_york,2016,US Senate,Wendy Long,republican,FALSE,1723927,7800725
new_york,2016,US Senate,Blank Vote,,FALSE,400943,7800725
new_york,2016,US Senate,Void Vote,,FALSE,3474,7800725
new_york,2016,US Senate,Wendy Long,reform,FALSE,17813,7800725
new_york,2016,US Senate,Charles E. Schumer,women's equality,FALSE,45402,7800725
new_york,2016,US Senate,scatter,,FALSE,3472,7800725
new_york,2016,US Senate,Charles E. Schumer,democrat,FALSE,4784220,7800725
new_york,2016,US Senate,Wendy Long,conservative,FALSE,267613,7800725
new_york,2016,US Senate,Robin Laverne Wilson,green,FALSE,113413,7800725
new_york,2016,US Senate,Charles E. Schumer,independence,FALSE,150655,7800725
north_carolina,2016,US Senate,Deborah K. Ross,democrat,FALSE,2128165,4691133
north_carolina,2016,US Senate,Richard Burr,republican,FALSE,2395376,4691133
north_carolina,2016,US Senate,Sean Haugh,libertarian,FALSE,167592,4691133
north_dakota,2016,US Senate,NA,NA,TRUE,366,342501
north_dakota,2016,US Senate,James Germalic,independent,FALSE,4675,342501
north_dakota,2016,US Senate,John Hoeven,republican,FALSE,268788,342501
north_dakota,2016,US Senate,Eliot Glassheim,democrat,FALSE,58116,342501
north_dakota,2016,US Senate,Robert N. Marquette,libertarian,FALSE,10556,342501
ohio,2016,US Senate,NA,NA,TRUE,111,5374164
ohio,2016,US Senate,Scott Rupert,none,FALSE,77291,5374164
ohio,2016,US Senate,Ted Strickland,democrat,FALSE,1996908,5374164
ohio,2016,US Senate,Joseph R. DeMare,green,FALSE,88246,5374164
ohio,2016,US Senate,Tom Connors,none,FALSE,93041,5374164
ohio,2016,US Senate,Rob Portman,republican,FALSE,3118567,5374164
oklahoma,2016,US Senate,Mike Workman,democrat,FALSE,355911,1448047
oklahoma,2016,US Senate,James Lankford,republican,FALSE,980892,1448047
oklahoma,2016,US Senate,Sean Braddy,independent,FALSE,40405,1448047
oklahoma,2016,US Senate,Robert T. Murphy,libertarian,FALSE,43421,1448047
oklahoma,2016,US Senate,Mark T. Beard,independent,FALSE,27418,1448047
oregon,2016,US Senate,Eric Navickas,pacific green,FALSE,48823,1952478
oregon,2016,US Senate,Other,,FALSE,2058,1952478
oregon,2016,US Senate,Ron Wyden,democrat,FALSE,1105119,1952478
oregon,2016,US Senate,Shanti S. Lewallen,working families,FALSE,61915,1952478
oregon,2016,US Senate,Steven C. Reynolds,independent,FALSE,59516,1952478
oregon,2016,US Senate,Mark Callahan,republican,FALSE,651106,1952478
oregon,2016,US Senate,Jim Lindsay,libertarian,FALSE,23941,1952478
pennsylvania,2016,US Senate,Katie McGinty,democrat,FALSE,2865012,6051856
pennsylvania,2016,US Senate,Edward T. Clifford III,libertarian,FALSE,235142,6051856
