districtID,totalPop,male,female,medianAge,18andOver,65andOver,singleRace,black,nativeAmericanAlaskan,asian,pacificIslander,otherRace,multiRace,hispanic,nativeBorn,foreignBorn,
iowa3,843598,416127,427471,37.0,634262,123357,821900,36515,1985,29566,478,9957,21698,59471,779923,63675,
iowa4,754936,377122,377814,38.9,585195,140815,740881,12687,3590,17239,531,6125,14055,53501,718118,36818,
kansas1,353292,345031,36.0,531809,115910,676980,22787,3875,11136,533,16097,21343,113508,645983,52340,
kansas2,713845,354493,359352,37.9,552616,123084,683484,34044,11963,11689,255,7788,30361,48603,689853,23992,
kansas3,775243,382093,393150,37.1,580447,108784,749053,62214,2399,38097,1615,25315,26190,95844,694041,81202,
kansas4,724099,359867,364232,37.1,541487,114413,693942,52096,8592,21522,526,24093,30157,90488,672271,51828,
kentucky1,355534,365590,40.6,559063,133233,703068,49665,1301,4625,1714,4621,18056,21680,709113,12011,
kentucky2,769850,382270,387580,38.6,591524,124068,747803,35956,2452,13122,2735,8462,22047,25454,743245,26605,
kentucky3,749110,361301,387809,38.3,583435,120473,730388,167681,1894,22504,27,12743,18722,43817,688104,61006,
kentucky4,754387,374042,380345,39.3,577207,116906,738229,25869,849,8646,213,9340,16158,25598,732100,22287,
kentucky5,695105,344010,351095,40.8,540810,121959,688162,8772,982,1749,150,2106,6943,7561,689391,5714,
kentucky6,778826,381864,396962,37.1,608582,114753,752734,66818,992,14654,104,14615,26092,37396,737103,41723,
louisiana1,396410,410228,38.7,622019,130195,788028,112895,10809,20878,173,9225,18610,71074,751174,55464,
louisiana2,794121,379129,414992,37.5,614277,115542,778452,491080,1885,16320,111,21215,15669,56176,743718,50403,
louisiana3,783545,382518,401027,36.8,590907,115222,767320,197823,2586,10513,0,4487,16225,32653,759758,23787,
louisiana4,747314,370579,376735,37.2,568108,122592,730187,257496,5155,7916,538,11046,17127,29762,729967,17347,
louisiana5,738249,366678,371571,37.8,561479,121256,724597,262847,2490,5278,135,5750,13652,15650,726558,11691,
louisiana6,790111,381216,408895,36.0,605603,115803,766349,187266,2732,15350,176,13643,23762,34639,753776,36335,
maine1,334199,351336,44.5,558051,138926,670829,11986,1909,11378,444,2476,14706,12892,656222,29313,
maine2,652869,321535,331334,45.6,531801,137143,637556,6968,6657,4305,21,788,15313,9519,634764,18105,
maryland1,363209,378412,42.7,582989,138984,722178,91106,996,15601,260,9267,19443,31974,707003,34618,
maryland2,768511,364768,403743,37.1,595771,109606,737456,272284,1475,41651,440,15739,31055,51397,679289,89222,
maryland3,754636,366630,388006,37.3,593065,115494,727157,173443,2041,57822,174,28615,27479,67780,628495,126141,
maryland4,760398,364951,395447,38.0,580239,103193,733745,397886,1055,24360,187,98434,26653,131619,602644,157754,
maryland5,757621,370907,386714,38.7,592774,105734,729240,294783,2690,32124,0,40980,28381,75797,665055,92566,
maryland6,758943,377702,381241,39.2,584385,118748,727312,103706,1618,81520,1162,34577,31631,110002,606705,152238,
maryland7,716136,338992,377144,38.5,564946,113001,694174,374252,1811,52833,4539,8977,21962,34379,633443,82693,
maryland8,784852,383191,401661,39.9,610194,126281,748441,103425,1747,73074,549,67453,36411,125487,604893,179959,
massachusettes1,354186,382295,41.0,585579,132153,716582,51375,1622,15458,189,21554,19899,138855,682551,53930,
massachusettes2,745347,365205,380142,39.9,602102,121700,719517,39762,1346,45415,618,18667,25830,77102,641819,103528,
massachusettes3,771096,382432,388664,39.2,598497,105527,745285,32434,2247,58988,198,78451,25811,150515,631617,139479,
massachusettes4,766019,365816,400203,41.3,597133,127736,746114,26402,1147,50401,127,16664,19905,39516,656921,109098,
massachusettes5,775135,378519,396616,39.1,626645,125377,747388,43210,424,99306,181,22274,27747,76232,581774,193361,
massachusettes6,780524,374955,405569,43.0,621414,146196,759854,34650,1015,37038,375,27056,20670,83856,662310,118214,
massachusettes7,820086,396239,423847,31.7,683622,89349,763994,198972,4105,88517,772,57732,56092,186622,560595,259491,
massachusettes8,764891,375363,389528,39.2,618753,124671,744916,85908,1504,66187,162,25469,19975,46510,621924,142967,
massachusettes9,742570,358172,384398,45.6,601278,164832,723755,24810,2788,11093,153,35464,18815,47572,664490,78080,
michigan1,356045,343175,46.7,570934,163475,678528,9447,17771,5169,366,2083,20692,13320,684641,14579,
michigan2,743361,367463,375898,37.4,572043,119587,718462,49717,5025,19487,298,18877,24899,70506,699824,43537,
michigan3,749975,374990,374985,36.9,569489,112791,722054,61116,2878,15348,346,14900,27921,59860,711548,38427,
michigan4,704592,351695,352897,41.6,561588,137477,689692,13239,5200,7785,193,3736,14900,23557,689850,14742,
michigan5,671115,326172,344943,41.8,524805,124550,649389,117802,2293,5568,66,4129,21726,33836,657964,13151,
michigan6,721736,356681,365055,38.9,559763,124855,692107,58328,3136,11341,573,11033,29629,46202,688283,33453,
michigan7,706811,353841,352970,42.0,555530,130623,687945,28719,1947,7418,86,5080,18866,31975,687740,19071,
michigan8,749011,368620,380391,38.1,583935,112636,725792,43581,2612,37707,146,6424,23219,40479,688517,60494,
michigan9,715259,349510,365749,39.6,576801,119353,697816,103803,2686,30799,247,3152,17443,17951,638081,77178,
michigan10,722722,359275,363447,43.5,567533,132553,707946,21764,1742,14989,392,4435,14776,25031,673950,48772,
michigan11,733920,361375,372545,41.7,577109,123503,713187,37402,1773,80740,44,6560,20733,24140,623849,110071,
michigan12,709832,353009,356823,35.3,563615,103976,686612,80720,2273,42832,230,11542,23220,43833,618712,91120,
michigan13,663867,315738,348129,36.7,501267,97265,647390,356197,2240,9414,248,18839,16477,52763,611509,52358,
michigan14,704494,332402,372092,38.6,547238,117809,686330,394916,1436,37231,672,7677,18164,33928,626230,78264,
minnesota1,340122,338296,38.6,522083,117573,664051,21905,2013,18839,1141,13714,14367,46054,633630,44788,
minnesota2,714141,350825,363316,37.9,538088,99093,691592,40131,3444,33434,66,13112,22549,45305,647375,66766,
minnesota3,723994,353270,370724,40.4,552571,114683,699772,63310,1360,55202,339,10189,24222,29677,634849,89145,
minnesota4,717766,351638,366128,36.2,547240,104637,686212,75003,4597,92962,155,13045,31554,48079,619340,98426,
minnesota5,718802,358830,359972,33.7,569735,91072,687974,122385,9613,42670,70,29171,30828,68067,608105,110697,
minnesota6,722715,366854,355861,37.5,541574,94077,704680,26704,2829,19476,33,8805,18035,25002,680215,42500,
minnesota7,663069,330867,332202,40.3,506770,130239,648498,11246,19132,5728,308,12271,14571,33729,641318,21751,
minnesota8,672274,341574,330700,43.4,531071,137260,653568,6969,17995,4815,284,2507,18706,12100,662155,10119,
mississippi1,370895,398700,38.3,588899,121547,753288,213965,1791,4848,110,12688,16307,25696,750740,18855,
mississippi2,695797,334753,361044,37.3,527456,106751,691228,465342,2068,1403,115,3769,4569,12593,688002,7795,
mississippi3,746155,359679,386476,37.5,572733,122887,739130,272635,7793,8992,509,4314,7025,15224,724630,21525,
mississippi4,774983,381502,393481,37.7,591720,123238,757934,183657,1582,10899,638,9007,17049,33613,752298,22685,
missouri1,346255,382110,36.3,573137,106576,707476,359940,1370,22653,566,7063,20889,24864,682804,45561,
missouri2,760689,367096,393593,42.8,595267,143830,744814,29119,1685,40337,665,3084,15875,21247,699950,60739,
missouri3,793405,393152,400253,39.2,612022,128004,776515,28334,1643,6692,903,2889,16890,19356,772189,21216,
missouri4,770500,385142,385358,37.2,599536,130398,744581,33920,5257,13518,350,4827,25919,30694,741805,28695,
missouri5,771847,373445,398402,36.8,596778,119698,742337,170287,2174,12887,3029,23087,29510,71048,723939,47908,
missouri6,780002,387329,392673,38.6,593139,128534,756215,33495,3588,9883,348,6153,23787,31814,755805,24197,
missouri7,783672,383138,400534,38.4,605946,138312,759034,16109,8968,9339,1376,7741,24638,41219,763264,20408,
missouri8,737972,367608,370364,41.3,572901,139722,721616,33123,3020,6108,148,1713,16356,13232,728306,9666,
montana1,534782,527523,40.1,832340,200239,1029842,5056,68013,8517,990,5828,32463,41605,1038939,23366,
nebraska1,328828,324856,35.9,497142,99097,629624,18792,7691,17322,538,10706,24060,64232,608471,45213,
nebraska2,673005,332339,340666,35.2,497831,86041,652048,64342,4379,24168,90,14597,20957,78057,612976,60029,
nebraska3,602579,300046,302533,39.9,459409,118860,588635,8087,6485,4289,661,21170,13944,72194,568868,33711,
nevada1,345733,339694,36.9,533900,99661,654826,90137,12197,55672,3623,153447,30601,311043,480281,205146,
nevada2,729771,372103,357668,39.5,571402,126080,703870,14156,17657,29443,3918,60273,25901,168405,642740,87031,
